# ------------------------------------------------------------------------------
#     name   network            latitude           longitude  useless      depth
# ------------------------------------------------------------------------------
      E61A        TA           46.431198          -70.488998        0.        0.
      E62A        TA           46.620098          -69.522697        0.        0.
      E63A        TA           46.422001          -68.462303        0.        0.
      E64A        TA           46.418400          -67.828499        0.        0.
      ELFS        TA           40.618301         -120.727898        0.        0.
      F03A        TA           45.930599         -123.559097        0.        0.
      F04A        TA           45.932499         -122.419296        0.        0.
      F05A        TA           45.883900         -121.458801        0.        0.
      F06A        TA           45.766399         -120.781700        0.        0.
      F07A        TA           45.895100         -119.927803        0.        0.
      F08A        TA           45.797100         -118.776802        0.        0.
      F09A        TA           45.708698         -117.909401        0.        0.
      F10A        TA           45.973400         -117.227699        0.        0.
      F11A        TA           45.888302         -116.154900        0.        0.
      F12A        TA           45.756500         -115.254700        0.        0.
      F13A        TA           45.789299         -114.331703        0.        0.
      F14A        TA           45.812199         -113.369904        0.        0.
      F15A        TA           45.840900         -112.492897        0.        0.
      F16A        TA           45.784302         -111.626198        0.        0.
      F17A        TA           45.905399         -110.658997        0.        0.
      F18A        TA           45.904598         -109.715797        0.        0.
      F19A        TA           45.853802         -108.943703        0.        0.
      F20A        TA           45.800598         -108.148804        0.        0.
      F21A        TA           45.823101         -107.123299        0.        0.
      F22A        TA           45.779400         -106.256897        0.        0.
      F23A        TA           45.721199         -105.405602        0.        0.
      F24A        TA           45.845200         -104.444801        0.        0.
      F25A        TA           45.925598         -103.457603        0.        0.
      F26A        TA           45.851200         -102.669701        0.        0.
      F27A        TA           45.872700         -102.020302        0.        0.
      F28A        TA           45.848499         -100.800499        0.        0.
      F29A        TA           45.833599          -99.827301        0.        0.
      F30A        TA           45.835602          -99.025002        0.        0.
      F31A        TA           45.859798          -98.252502        0.        0.
      F32A        TA           45.870499          -97.126404        0.        0.
      F33A        TA           45.839802          -96.292900        0.        0.
      F34A        TA           45.795399          -95.258102        0.        0.
      F35A        TA           45.858002          -94.573402        0.        0.
      F36A        TA           45.861801          -93.524101        0.        0.
      F37A        TA           45.724300          -92.626404        0.        0.
      F38A        TA           45.958801          -91.877502        0.        0.
      F39A        TA           45.915298          -90.918999        0.        0.
      F40A        TA           45.918999          -90.121696        0.        0.
      F41A        TA           45.738701          -89.104599        0.        0.
      F42A        TA           45.758701          -88.134697        0.        0.
      F43A        TA           45.831299          -87.169403        0.        0.
      F44A        TA           45.973701          -86.422600        0.        0.
      F45A        TA           45.683701          -85.515602        0.        0.
      F46A        TA           45.773701          -84.758598        0.        0.
      F48A        TA           45.827801          -82.618500        0.        0.
      F49A        TA           45.762699          -82.042297        0.        0.
      F51A        TA           45.928398          -79.915001        0.        0.
      F52A        TA           45.795101          -79.322701        0.        0.
      F55A        TA           45.833801          -76.350998        0.        0.
      F57A        TA           45.812199          -74.692802        0.        0.
      F58A        TA           45.866299          -73.814499        0.        0.
      F59A        TA           45.851299          -72.783302        0.        0.
      F60A        TA           45.968800          -71.951401        0.        0.
      F61A        TA           45.974300          -70.992104        0.        0.
      F62A        TA           45.896801          -69.966400        0.        0.
      F63A        TA           45.702999          -69.102898        0.        0.
      F64A        TA           45.863300          -68.349602        0.        0.
      G03A        TA           45.315300         -123.281097        0.        0.
